survey;platform_code;operation_code;species_code;category_code;weight
CAMP1;201176;1;10104;0;40.470
CAMP1;201176;1;10152;0;9.685
CAMP1;201176;1;10414;0;467.612
CAMP1;201176;1;10416;0;135.209
CAMP1;201176;1;10488;0;6.470
CAMP1;201176;1;10489;0;1.675
CAMP1;201176;1;10490;0;0.795
CAMP1;201176;1;10495;0;77.766
CAMP1;201176;1;10499;0;2.770
CAMP1;201176;1;10507;0;63.336
CAMP1;201176;1;10522;0;34.399
CAMP1;201176;1;10639;0;2.440
CAMP1;201176;1;10641;0;100.467
CAMP1;201176;1;12822;0;0.605
CAMP1;201176;1;21764;0;1.920
CAMP1;201176;1;60519;0;6.915
CAMP1;201176;2;10415;0;11.215
CAMP1;201176;2;10416;0;18.820
CAMP1;201176;2;10488;0;0.150
CAMP1;201176;2;10495;0;0.145
CAMP1;201176;2;10522;0;0.095
CAMP1;201176;2;10641;0;0.685
CAMP1;201176;2;30167;0;0.355
CAMP1;201176;3;10152;0;17.840
CAMP1;201176;3;10156;0;28.055
CAMP1;201176;3;10283;0;0.340
CAMP1;201176;3;10416;0;8.285
CAMP1;201176;3;10423;0;16.830
CAMP1;201176;3;10426;0;0.340
CAMP1;201176;3;10490;0;0.450
CAMP1;201176;3;30162;0;0.055
CAMP1;201176;3;60091;0;0.010
CAMP1;201176;4;10152;0;126.418
CAMP1;201176;4;10156;0;48.979
CAMP1;201176;4;10283;0;0.740
CAMP1;201176;4;10641;0;0.208
CAMP1;201176;4;30162;0;0.068
CAMP1;201176;4;60864;0;0.014
CAMP1;201176;5;10056;0;5.176
CAMP1;201176;5;10152;1;0.330
CAMP1;201176;5;10152;2;103.703
CAMP1;201176;5;10156;0;779.129
CAMP1;201176;5;10283;0;1.225
CAMP1;201176;5;10641;0;6.485
CAMP1;201176;5;10642;0;3.725
CAMP1;201176;5;30162;0;0.032
CAMP1;201176;5;60504;0;0.018
CAMP1;201176;6;10152;0;22.590
CAMP1;201176;6;10156;0;6.360
CAMP1;201176;6;10507;0;0.150
CAMP1;201176;6;10642;0;0.690
CAMP1;201176;6;10675;0;0.415
CAMP1;201176;6;10696;0;0.001
CAMP1;201176;6;11192;0;0.090
CAMP1;201176;6;30162;0;0.335
CAMP1;201176;6;30167;0;0.135
CAMP1;201176;7;10156;0;120.232
CAMP1;201176;7;10641;0;1503.686
CAMP1;201176;7;10642;0;9.741
CAMP1;201176;8;10152;1;42.632
CAMP1;201176;8;10152;2;98.428
CAMP1;201176;8;10156;0;55.701
CAMP1;201176;8;10338;0;1.310
CAMP1;201176;8;10407;0;0.295
CAMP1;201176;8;10416;0;0.560
CAMP1;201176;8;10456;0;1.280
CAMP1;201176;8;10488;0;4.170
CAMP1;201176;8;10490;0;1.090
CAMP1;201176;8;10493;0;0.075
CAMP1;201176;8;10507;0;0.170
CAMP1;201176;8;10641;0;0.120
CAMP1;201176;8;10642;0;0.490
CAMP1;201176;8;10675;0;1.305
CAMP1;201176;8;11192;0;11.485
CAMP1;201176;8;12822;0;0.155
CAMP1;201176;8;30162;0;0.007
CAMP1;201176;9;10152;0;103.388
CAMP1;201176;9;10156;0;6.447
CAMP1;201176;9;10641;0;661.298
CAMP1;201176;9;10642;0;0.552
CAMP1;201176;10;10152;0;281.462
CAMP1;201176;10;10156;0;96.591
CAMP1;201176;10;10283;0;1.020
CAMP1;201176;10;10310;0;2.875
CAMP1;201176;10;10415;0;5.580
CAMP1;201176;10;10522;0;0.285
CAMP1;201176;10;10641;0;180.902
CAMP1;201176;10;10642;0;1.380
CAMP1;201176;10;10816;0;2.570
CAMP1;201176;10;30162;0;0.016
CAMP1;201176;10;30177;0;0.075
CAMP1;201176;10;40059;0;0.023
CAMP1;201176;10;40149;0;0.002
CAMP1;201176;11;10152;0;83.807
CAMP1;201176;11;10156;0;53.423
CAMP1;201176;11;10283;0;0.475
CAMP1;201176;11;10310;0;0.374
CAMP1;201176;11;10323;0;0.030
CAMP1;201176;11;10414;0;291.841
CAMP1;201176;11;10415;0;39.649
CAMP1;201176;11;10522;0;0.450
CAMP1;201176;11;10641;0;87.201
CAMP1;201176;11;10642;1;0.295
CAMP1;201176;11;10642;2;23.173
CAMP1;201176;11;10816;0;2.020
CAMP1;201176;11;30162;0;0.018
CAMP1;201176;12;10152;0;2833.056
CAMP1;201176;12;10156;0;2.759
CAMP1;201176;12;10507;0;0.495
CAMP1;201176;13;10152;0;3151.443
CAMP1;201176;13;10156;0;0.052
CAMP1;201176;13;10283;0;0.508
CAMP1;201176;13;10489;0;0.742
CAMP1;201176;13;10495;0;14.063
CAMP1;201176;13;10641;0;209.078
CAMP1;201176;13;60519;0;1.120
CAMP1;201176;14;10156;0;11.415
CAMP1;201176;14;10283;0;1.370
CAMP1;201176;14;10641;0;163.252
CAMP1;201176;14;10642;1;0.895
CAMP1;201176;14;10642;2;213.507
CAMP1;201176;14;30162;0;0.012
CAMP1;201176;15;10177;0;0.044
CAMP1;201176;15;10283;0;0.260
CAMP1;201176;15;10415;0;0.102
CAMP1;201176;15;10641;0;0.378
CAMP1;201176;15;10642;0;10.820
CAMP1;201176;15;10816;0;20.270
CAMP1;201176;15;30162;0;0.021
CAMP1;201176;16;10156;0;448.198
CAMP1;201176;16;10283;0;0.970
CAMP1;201176;16;10353;0;0.010
CAMP1;201176;16;10414;0;4.735
CAMP1;201176;16;10522;0;0.395
CAMP1;201176;16;10641;0;8.110
CAMP1;201176;16;10642;1;0.152
CAMP1;201176;16;10642;2;334.367
CAMP1;201176;16;10673;0;8.715
CAMP1;201176;17;00002;0;1.445
CAMP1;201176;17;10152;1;252.133
CAMP1;201176;17;10152;2;94.637
CAMP1;201176;17;10156;0;5.370
CAMP1;201176;17;10414;0;0.335
CAMP1;201176;17;10495;0;2.775
CAMP1;201176;17;10507;0;0.975
CAMP1;201176;17;10519;0;0.430
CAMP1;201176;17;10522;0;0.220
CAMP1;201176;17;10641;0;0.390
CAMP1;201176;17;10816;0;33.920
CAMP1;201176;17;60519;0;1.615
CAMP1;201176;18;10283;0;0.595
CAMP1;201176;18;10414;0;0.245
CAMP1;201176;18;10641;0;17.790
CAMP1;201176;18;10642;0;999.115
CAMP1;201176;19;10283;0;0.150
CAMP1;201176;19;10320;0;1.520
CAMP1;201176;19;10414;0;0.715
CAMP1;201176;19;10522;0;0.415
CAMP1;201176;19;10639;0;0.670
CAMP1;201176;19;10641;0;58.755
CAMP1;201176;19;10642;0;523.745
CAMP1;201176;20;10152;1;3127.793
CAMP1;201176;20;10152;2;255.616
CAMP1;201176;20;10283;0;0.400
CAMP1;201176;20;10414;0;0.450
CAMP1;201176;20;10416;0;0.260
CAMP1;201176;20;10490;0;0.230
CAMP1;201176;20;10495;0;0.180
CAMP1;201176;20;10507;0;1.255
CAMP1;201176;20;10522;0;1.195
CAMP1;201176;20;10537;0;0.050
CAMP1;201176;20;10641;0;183.172
CAMP1;201176;20;10642;0;1.480
CAMP1;201176;20;11192;0;0.095
CAMP1;201176;20;12822;0;0.100
CAMP1;201176;20;60519;0;7.170
CAMP1;201176;21;00002;0;0.015
CAMP1;201176;21;10156;0;659.000
CAMP1;201176;21;10283;0;0.090
CAMP1;201176;21;10641;0;253.690
CAMP1;201176;21;10642;0;22.220
CAMP1;201176;21;10816;0;2.735
CAMP1;201176;22;10152;0;0.090
CAMP1;201176;22;10156;0;14.925
CAMP1;201176;22;10641;0;1.500
CAMP1;201176;22;10642;0;2.590
CAMP1;201176;22;10816;0;10.440
CAMP1;201176;22;30162;0;0.001
CAMP2;201176;1;10152;0;0.022
CAMP2;201176;1;10156;0;15.780
CAMP2;201176;1;10283;0;0.089
CAMP2;201176;1;30162;0;0.012
CAMP2;201176;2;10141;0;3.220
CAMP2;201176;2;10416;0;49.020
CAMP2;201176;2;10488;0;0.090
CAMP2;201176;2;10522;0;5.700
CAMP2;201176;2;10641;0;89.325
CAMP2;201176;3;00002;0;0.570
CAMP2;201176;3;10104;0;31.645
CAMP2;201176;3;10107;0;23.770
CAMP2;201176;3;10414;0;0.432
CAMP2;201176;3;10416;0;17.636
CAMP2;201176;3;10488;0;3.640
CAMP2;201176;3;10489;0;0.905
CAMP2;201176;3;10495;0;0.380
CAMP2;201176;3;10499;0;10.770
CAMP2;201176;3;10507;0;10.610
CAMP2;201176;3;10537;0;1.550
CAMP2;201176;3;10641;0;0.422
CAMP2;201176;3;30167;0;0.590
CAMP2;201176;4;10816;0;49.850
CAMP2;201176;5;10138;0;0.625
CAMP2;201176;5;10152;0;37.940
CAMP2;201176;5;10156;0;2.790
CAMP2;201176;5;10283;0;0.205
CAMP2;201176;5;10407;0;0.610
CAMP2;201176;5;10416;0;38.880
CAMP2;201176;5;10423;0;0.780
CAMP2;201176;5;10490;0;0.220
CAMP2;201176;5;10522;0;0.800
CAMP2;201176;5;10532;0;3.675
CAMP2;201176;5;10641;0;0.277
CAMP2;201176;5;10675;0;0.820
CAMP2;201176;5;30167;0;1.045
CAMP2;201176;6;10056;0;4.775
CAMP2;201176;6;10152;0;5.740
CAMP2;201176;6;10156;0;118.210
CAMP2;201176;6;10283;0;0.645
CAMP2;201176;6;10634;0;0.015
CAMP2;201176;6;10642;0;0.615
CAMP2;201176;6;30162;0;0.075
CAMP2;201176;7;10107;0;5.285
CAMP2;201176;7;10141;0;0.380
CAMP2;201176;7;10152;0;14.600
CAMP2;201176;7;10337;0;0.520
CAMP2;201176;7;10407;0;1.740
CAMP2;201176;7;10414;0;0.902
CAMP2;201176;7;10416;0;182.860
CAMP2;201176;7;10423;0;1.800
CAMP2;201176;7;10426;0;0.190
CAMP2;201176;7;10456;0;2.395
CAMP2;201176;7;10488;0;1.345
CAMP2;201176;7;10490;0;1.075
CAMP2;201176;7;10493;0;0.142
CAMP2;201176;7;10507;0;0.320
CAMP2;201176;7;10522;0;0.109
CAMP2;201176;7;10641;0;9.386
CAMP2;201176;7;10675;0;1.135
CAMP2;201176;7;11192;0;3.225
CAMP2;201176;7;12822;0;0.299
CAMP2;201176;7;30167;0;2.185
CAMP2;201176;8;10152;0;0.352
CAMP2;201176;8;10156;0;21.860
CAMP2;201176;8;10283;0;0.338
CAMP2;201176;8;10641;0;0.235
CAMP2;201176;8;10642;0;0.730
CAMP2;201176;8;30162;0;0.118
CAMP2;201176;8;30167;0;0.086
CAMP2;201176;9;10107;0;0.640
CAMP2;201176;9;10141;0;0.112
CAMP2;201176;9;10152;0;6.080
CAMP2;201176;9;10156;0;10.150
CAMP2;201176;9;10156;2;0.190
CAMP2;201176;9;10337;0;1.100
CAMP2;201176;9;10407;0;1.100
CAMP2;201176;9;10414;0;0.070
CAMP2;201176;9;10416;0;87.990
CAMP2;201176;9;10454;0;0.262
CAMP2;201176;9;10456;0;1.480
CAMP2;201176;9;10471;0;0.131
CAMP2;201176;9;10488;0;0.575
CAMP2;201176;9;10490;0;1.040
CAMP2;201176;9;10493;0;0.034
CAMP2;201176;9;10495;0;0.390
CAMP2;201176;9;10507;0;0.365
CAMP2;201176;9;10519;0;0.267
CAMP2;201176;9;10522;0;0.735
CAMP2;201176;9;10542;0;0.128
CAMP2;201176;9;10579;0;0.054
CAMP2;201176;9;10639;0;5.455
CAMP2;201176;9;10641;0;194.720
CAMP2;201176;9;10739;0;0.038
CAMP2;201176;9;11192;0;1.560
CAMP2;201176;9;12822;0;0.725
CAMP2;201176;9;30159;0;0.760
CAMP2;201176;9;30167;0;2.565
CAMP2;201176;9;30190;0;0.195
CAMP2;201176;10;10156;0;156.310
CAMP2;201176;10;10441;0;6.205
CAMP2;201176;10;10634;0;0.018
CAMP2;201176;10;10642;0;0.270
CAMP2;201176;10;30162;0;0.015
CAMP2;201176;10;30183;0;0.012
CAMP2;201176;10;60504;0;0.185
CAMP2;201176;11;10107;0;26.245
CAMP2;201176;11;10152;1;0.090
CAMP2;201176;11;10152;2;11.600
CAMP2;201176;11;10156;0;2.015
CAMP2;201176;11;10414;0;0.230
CAMP2;201176;11;10416;0;6.765
CAMP2;201176;11;10488;0;1.120
CAMP2;201176;11;10490;0;0.205
CAMP2;201176;11;10507;0;0.515
CAMP2;201176;11;10519;0;0.595
CAMP2;201176;11;10522;0;0.070
CAMP2;201176;11;10641;0;4.230
CAMP2;201176;11;12822;0;0.097
CAMP2;201176;11;30159;0;0.190
CAMP2;201176;11;30167;0;0.820
CAMP2;201176;11;30188;0;0.920
CAMP2;201176;12;10107;0;0.575
CAMP2;201176;12;10152;1;4503.830
CAMP2;201176;12;10152;2;23.244
CAMP2;201176;12;10156;0;2.048
CAMP2;201176;12;10414;0;0.261
CAMP2;201176;12;10416;0;5.772
CAMP2;201176;12;10489;0;0.438
CAMP2;201176;12;10493;0;0.045
CAMP2;201176;12;10507;0;0.955
CAMP2;201176;12;10522;0;2.113
CAMP2;201176;12;10641;0;13.880
CAMP2;201176;12;12822;0;2.281
CAMP2;201176;12;30167;0;0.590
CAMP2;201176;12;30186;0;0.365
CAMP2;201176;12;40031;0;0.060
CAMP2;201176;12;60150;0;0.720
CAMP2;201176;13;10152;0;324.842
CAMP2;201176;13;10156;0;1.678
CAMP2;201176;13;10283;0;0.640
CAMP2;201176;13;10414;0;2.349
CAMP2;201176;13;10415;0;24.425
CAMP2;201176;13;10489;0;0.390
CAMP2;201176;13;10507;0;0.071
CAMP2;201176;13;10522;0;1.431
CAMP2;201176;13;10641;0;3806.339
CAMP2;201176;14;10156;0;17.130
CAMP2;201176;14;10177;0;1.620
CAMP2;201176;14;10277;0;0.055
CAMP2;201176;14;10283;0;0.075
CAMP2;201176;14;10414;0;4.950
CAMP2;201176;14;10415;0;1.330
CAMP2;201176;14;10489;0;0.305
CAMP2;201176;14;10495;0;2.305
CAMP2;201176;14;10522;0;0.405
CAMP2;201176;14;10634;0;0.003
CAMP2;201176;14;10641;0;2.830
CAMP2;201176;14;10642;0;1.115
CAMP2;201176;14;30162;0;0.087
CAMP2;201176;15;10156;0;17.600
CAMP2;201176;15;10283;0;0.042
CAMP2;201176;15;10441;0;0.400
CAMP2;201176;15;10634;0;0.024
CAMP2;201176;15;10641;0;0.083
CAMP2;201176;15;10642;0;2.530
CAMP2;201176;15;30162;0;0.040
CAMP2;201176;16;00001;0;2.000
CAMP2;201176;16;10104;0;5.530
CAMP2;201176;16;10152;0;359.620
CAMP2;201176;16;10156;0;1.230
CAMP2;201176;16;10283;0;0.033
CAMP2;201176;16;10320;0;0.545
CAMP2;201176;16;10414;0;105.910
CAMP2;201176;16;10415;0;40.600
CAMP2;201176;16;10488;0;0.495
CAMP2;201176;16;10495;0;4.645
CAMP2;201176;16;10507;0;0.565
CAMP2;201176;16;10522;0;4.045
CAMP2;201176;16;10641;0;37.650
CAMP2;201176;16;10642;0;1.470
CAMP2;201176;17;10156;0;192.260
CAMP2;201176;17;10277;0;0.154
CAMP2;201176;17;10283;0;1.190
CAMP2;201176;17;10414;0;26.020
CAMP2;201176;17;10415;0;0.059
CAMP2;201176;17;10522;0;0.390
CAMP2;201176;17;10634;0;0.047
CAMP2;201176;17;10641;0;6.675
CAMP2;201176;17;10642;0;10.945
CAMP2;201176;17;30162;0;0.191
CAMP2;201176;17;30177;0;0.024
CAMP2;201176;18;10152;0;69.460
CAMP2;201176;18;10156;0;0.430
CAMP2;201176;18;10283;0;0.815
CAMP2;201176;18;10310;0;18.705
CAMP2;201176;18;10320;0;0.360
CAMP2;201176;18;10321;0;1.790
CAMP2;201176;18;10323;0;0.962
CAMP2;201176;18;10414;0;0.405
CAMP2;201176;18;10415;0;0.175
CAMP2;201176;18;10488;0;0.340
CAMP2;201176;18;10641;0;1.633
CAMP2;201176;18;10642;0;1.228
CAMP2;201176;18;30162;0;0.035
CAMP2;201176;18;30167;0;0.260
CAMP2;201176;18;40059;0;0.440
CAMP2;201176;18;40089;0;0.001
